max_amp,min_amp,mean_amp,std_amp,max_angle,mean_angle,freefall_duration,impact_duration,final_angle,label
11.5,0.44,6.77,3.01,157.89,50.68,3,3,8.17,1
6.03,4.93,5.37,0.92,28.87,18.27,1,1,23.92,0
6.71,2.85,4.91,0.07,26.65,33.38,1,1,20.86,0
11.92,1.85,6.4,3.72,158.14,52.23,3,4,3.06,1
13.68,1.9,8.04,3.34,130.47,55.91,4,3,4.69,1
12.24,0.67,6.34,4.33,156.95,44.77,5,3,7.61,1
16.71,1.82,9.2,2.44,125.38,54.67,6,4,5.29,1
7.04,5.4,6.48,0.89,15.29,30.9,0,0,18.88,0
8.82,3.21,5.95,0.62,30.88,18.68,1,0,18.46,0
8.58,3.78,6.21,1.28,61.26,35.83,1,0,19.93,0
12.72,0.95,6.7,2.58,115.96,49.9,7,3,2.8,1
15.59,1.24,8.51,4.15,104.95,41.64,5,3,4.14,1
16.55,0.4,8.07,2.26,124.22,40.38,3,3,5.38,1
5.74,5.16,5.86,1.78,12.24,16.7,1,2,13.48,0
5.74,3.1,4.28,1.99,26.81,17.42,0,0,12.49,0
6.92,5.68,6.13,2.29,73.93,27.09,1,0,20.49,0
15.93,2.36,8.91,3.01,106.91,48.4,6,2,5.79,1
5.51,4.34,4.6,1.62,60.48,33.17,2,0,19.13,0
14.96,0.83,8.33,1.81,98.15,61.38,5,3,9.06,1
16.58,3.03,9.97,4.08,141.25,61.41,4,5,7.92,1
9.78,5.49,7.89,1.9,15.63,12.23,1,3,28.53,0
15.15,2.25,8.97,3.09,113.16,48.92,4,4,4.97,1
9.58,5.38,7.29,1.35,77.49,17.16,0,2,29,0
7.25,5.13,6.09,1.94,41.32,22.72,0,1,10.85,0
7.34,4.48,5.54,-0.12,40.7,27.23,1,1,14.38,0
5.93,4.73,5.41,1.27,39.19,36.58,1,3,19.35,0
8.92,3.52,6.04,0.73,61.74,35.27,0,1,19.69,0
5.95,5.43,5.42,1.65,11.28,15.21,2,3,12.79,0
9.13,5.17,7.63,0.98,63.31,11.5,3,1,20.93,0
5.26,4.71,4.63,1.82,27.55,17.86,2,1,24.29,0
14.43,1.92,8.57,2,148.91,67.44,6,5,8.84,1
5.25,3.48,4.93,1.38,26.44,31.48,1,0,20.32,0
5.62,5.24,5.35,1.53,12.79,17.33,2,1,13.23,0
13.61,1.05,7.66,2.84,93.65,59.76,8,5,8.29,1
8.42,3.3,5.94,2.22,75.53,14.28,0,0,25.83,0
12.53,1.69,7.06,3.59,157.61,51.68,3,4,2.47,1
8.99,5.72,7.16,0.69,39.04,17.74,1,1,23.26,0
9.32,5.17,7.38,2.43,42.25,27.27,2,0,24.14,0
17.18,1.98,9.73,2.88,105.9,48.5,6,1,6.85,1
15.83,0.7,8.37,4.05,155.53,56.43,5,3,7.6,1
6.45,4.77,5.2,1.84,40.49,27.37,0,1,15.18,0
9.34,4.94,7.4,0.69,61.48,11.85,3,2,20.74,0
7.6,5.68,6.36,0.37,30.32,21.39,2,0,13,0
7.22,4.96,6.23,0.73,46.37,33.38,2,2,24.75,0
13.51,2.21,7.94,3.31,135.32,42.85,7,4,10.19,1
9.65,5.1,7.56,2.1,14.71,11.21,1,2,27.26,0
8.86,5.46,7.82,0.62,77.79,17.42,1,2,29.36,0
16.42,0.62,8.59,3.69,149.21,36.24,8,4,9.72,1
10.36,3.59,7.17,1.57,27.28,30.82,0,3,27.29,0
9.97,3.42,6.72,1.04,36.07,20.19,1,0,24.47,0
16.72,2.25,9.31,3.19,140.63,61.06,5,5,8.7,1
15.09,0.86,7.67,1.9,97.51,61.13,4,5,9.17,1
13.01,1.32,7.11,3.33,116.44,51.47,8,3,1.49,1
12.92,0.91,6.78,2.67,99.66,57.1,4,3,5.38,1
9.77,4.86,7.44,1.22,75.6,26.93,0,2,25.95,0
15.82,1.63,8.94,4.45,109.33,41.19,4,5,9.76,1
13.38,1.13,7.67,4.11,92.36,56.77,7,2,3.15,1
14.67,2.14,8.34,3.23,93.59,59.7,6,3,8.01,1
14.06,2.66,8.24,2.54,105.48,55.39,6,3,2.69,1
17.25,1.42,9.37,3.96,125.04,36.45,5,3,3.96,1
10.51,3.87,6.87,0.6,46.46,24.12,0,1,18.5,0
9.62,3.48,7,1.8,39.55,31.5,0,2,25.74,0
13.4,2.7,8.77,3.46,133.98,55.67,2,3,2.45,1
15.39,1.92,8.81,3.87,109.18,41.54,2,5,9.5,1
15.57,0.83,8.12,2.54,137.5,53.13,6,4,4.84,1
13.07,2.15,7.38,2.38,128.14,56.32,4,3,4.05,1
9.13,5.68,7.1,0.78,39.2,18.75,3,2,23.52,0
17.45,2.39,10.08,2.39,148.43,35.13,3,5,8.1,1
13.86,2.33,7.77,2.39,105.15,56.62,5,5,3.41,1
6.48,6.05,6.63,1.3,40.85,23.94,1,0,10.93,0
15.53,1.44,8.74,3.64,147.02,56.96,2,5,7.35,1
6.52,5.75,6.64,1.61,41.47,23.65,0,1,10.89,0
15.14,1.16,8.21,4.43,105.08,41.65,3,3,5.44,1
15.06,1.33,8.03,3.43,147.86,56.15,3,5,7.15,1
12.76,2.09,7.42,2.8,133.95,54.63,3,2,3.17,1
15.92,2.22,8.98,2.77,145.28,69,5,3,3.18,1
16.21,1.98,9.64,3.45,147.55,55.94,4,5,6.57,1
9.14,4.93,7.28,1.35,42.6,27.44,1,0,26,0
8.76,2.65,5.73,0.39,25.6,22.78,1,2,23.85,0
15.54,1.76,9.01,2.55,113.46,69.91,8,3,8.64,1
12.37,0.94,6.76,3.93,156.83,69.51,4,3,9.86,1
17.42,2.13,9.96,3.56,149.19,35.08,4,5,7.77,1
15.62,1.33,8.05,2.37,147.47,49.76,4,4,4.12,1
8.38,4.32,6.44,0.92,72.22,18.94,2,2,11.69,0
6.48,4.43,5.25,1.5,35.17,22.32,0,1,22.88,0
6.96,4.37,5.72,2.03,60.78,32.55,2,0,28.69,0
6.01,5,5.17,0.88,68.16,34.27,0,3,15.74,0
16.64,1.39,9.38,2.49,147.1,70.32,6,2,3.66,1
13.49,1.45,7.79,3.25,91.51,56.83,5,1,3.42,1
7.79,4.27,6.41,1.02,47.67,34.22,2,0,25.04,0
